duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
4.366666666666666,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
4.366666666666666,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Subscriber
4.416666666666667,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Customer
4.416666666666667,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
4.433333333333334,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Customer
4.45,2013-08-29,2013,8,16,4,Mountain View,Mountain View,Customer
4.45,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
4.483333333333333,2013-08-29,2013,8,20,4,San Francisco,San Francisco,Subscriber
4.55,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Customer
4.616666666666666,2013-08-29,2013,8,18,4,Palo Alto,Palo Alto,Customer
4.633333333333334,2013-08-29,2013,8,11,4,San Francisco,San Francisco,Subscriber
4.733333333333333,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
4.733333333333333,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
4.783333333333333,2013-08-29,2013,8,9,4,Mountain View,Mountain View,Customer
4.8,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Customer
4.816666666666666,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
4.85,2013-08-29,2013,8,14,4,San Jose,San Jose,Subscriber
4.866666666666666,2013-08-29,2013,8,19,4,San Francisco,San Francisco,Customer
4.883333333333334,2013-08-29,2013,8,17,4,Palo Alto,Palo Alto,Subscriber
4.966666666666667,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
4.966666666666667,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
4.966666666666667,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Subscriber
5.083333333333333,2013-08-29,2013,8,17,4,San Francisco,San Francisco,Subscriber
5.116666666666666,2013-08-29,2013,8,12,4,Palo Alto,Palo Alto,Subscriber
5.15,2013-08-29,2013,8,11,4,San Francisco,San Francisco,Subscriber
5.15,2013-08-29,2013,8,11,4,San Francisco,San Francisco,Customer
5.15,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Customer
5.25,2013-08-29,2013,8,17,4,Redwood City,Redwood City,Subscriber
5.266666666666667,2013-08-29,2013,8,18,4,San Francisco,San Francisco,Customer
5.3,2013-08-29,2013,8,21,4,San Francisco,San Francisco,Subscriber
5.316666666666666,2013-08-29,2013,8,16,4,San Francisco,San Francisco,Customer
5.333333333333333,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
5.383333333333334,2013-08-29,2013,8,12,4,San Francisco,San Francisco,Subscriber
5.383333333333334,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Customer
5.383333333333334,2013-08-29,2013,8,22,4,San Francisco,San Francisco,Subscriber
5.4,2013-08-29,2013,8,13,4,San Francisco,San Francisco,Subscriber
5.45,2013-08-29,2013,8,16,4,San Jose,San Jose,Subscriber
5.45,2013-08-29,2013,8,17,4,Palo Alto,Palo Alto,Subscriber
5.533333333333333,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Subscriber
5.583333333333333,2013-08-29,2013,8,14,4,San Francisco,San Francisco,Subscriber
5.583333333333333,2013-08-29,2013,8,15,4,San Francisco,San Francisco,Subscriber
